2026-04-15 09:16:24,091 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Ground Truth
2026-04-15 09:16:24,538 | MainThread   | [DEBUG   ] | show_plot           |: Show Ground Truth
2026-04-15 09:16:25,292 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Odometry
2026-04-15 09:16:25,737 | MainThread   | [DEBUG   ] | show_plot           |: Show Odometry
2026-04-15 09:16:31,020 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 15:08:32,366 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.13.2 (main, Feb 26 2025, 14:05:36) [Clang 16.0.0 (clang-1600.0.26.6)]
2026-04-25 15:08:32,367 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2026-04-25 15:08:32,367 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2026-04-25 15:08:32,367 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2026-04-25 15:08:32,367 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2026-04-25 15:08:32,367 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2026-04-25 15:08:32,367 | MainThread   | [DEBUG   ] | run                 |: ------------------

2026-04-25 15:19:57,634 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2026-04-25 15:19:57,635 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2026-04-25 15:32:48,736 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.13.2 (main, Feb 26 2025, 14:05:36) [Clang 16.0.0 (clang-1600.0.26.6)]
2026-04-25 15:32:48,737 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2026-04-25 15:32:48,737 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2026-04-25 15:32:48,737 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2026-04-25 15:32:48,737 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2026-04-25 15:32:48,737 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2026-04-25 15:32:48,737 | MainThread   | [DEBUG   ] | run                 |: ------------------

2026-04-25 15:42:49,047 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 17:11:18,705 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 17:11:39,183 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2026-04-25 17:11:39,183 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
2026-04-25 17:11:41,208 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.13.2 (main, Feb 26 2025, 14:05:36) [Clang 16.0.0 (clang-1600.0.26.6)]
2026-04-25 17:11:41,208 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2026-04-25 17:11:41,208 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2026-04-25 17:11:41,208 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2026-04-25 17:11:41,208 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2026-04-25 17:11:41,208 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2026-04-25 17:11:41,208 | MainThread   | [DEBUG   ] | run                 |: ------------------

2026-04-25 17:12:16,935 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 17:15:54,412 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 17:20:41,958 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 17:30:59,804 | MainThread   | [DEBUG   ] | signal_handler      |: Received SIGTERM
2026-04-25 17:30:59,804 | MainThread   | [DEBUG   ] | run                 |: Exiting gracefully...
